index,timestamp,username,comment,likes,replycount
52,2021-07-19T07:39:18Z,Brawlstars adda,Who came again,0,0
53,2021-07-16T08:22:18Z,Harish Khanna,Disclaimer : no pot is harmed during this shoot,0,0
54,2021-07-15T16:24:03Z,Someone  •—•,2021 AND STILL IM LAUGHING !!!!!!<br>THE LUNGI THO <br>LMAO,0,0
55,2021-07-15T08:51:42Z,FGf GFed,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m28s"">0:28</a> the guy who is trying beating Naser got hurt by the pieces of pot (plot twist)",0,0
56,2021-07-14T12:17:11Z,Monu Arun,I feel sad for beep😂😂,0,0
57,2021-07-12T07:11:01Z,Footastiquuer,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m28s"">0:28</a> The cow haha",2,0
58,2021-07-11T10:27:45Z,Himaja Singam,The guy who chases them maybe dinesh lol🤣🤣🤣,0,0
59,2021-07-09T18:03:03Z,Siddharth *,Can&#39;t believe YouTube recommend me this after 4 years 😭😭,0,0
60,2021-07-09T15:31:38Z,bowtojenniekim,So true,0,0
61,2021-07-07T10:34:50Z,At A Glimpse,that is matka flip,1,0
62,2021-07-07T06:37:42Z,👑Lucifer👑,Jordindian has been everyone&#39;s favorite for all these four years,5,0
63,2021-07-07T02:19:50Z,ShaunPlayz,Who is still watching and laughing ? Because I am,2,0
64,2021-07-06T23:38:29Z,Hottie Spot,😍😍😍🔥🔥🔥,0,0
65,2021-06-22T11:49:46Z,Indira C,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m15s"">0:15</a>",1,0
66,2021-06-22T06:48:40Z,Cinfused,Who is seeing this in 2021,0,0
67,2021-06-11T12:34:01Z,RAVINDRA GOVINDARAJU,The bucket one is expectaion vs reality 🤣,4,0
68,2021-06-08T18:16:49Z,weeb_matic77,Youtube let&#39;s recommend this after 4 years,0,0
69,2021-05-29T01:36:36Z,Tech Dyan,Guys wt can I say ...😂😂😂🙏🙏🤘,0,0
70,2021-05-28T15:53:48Z,Melroy Noronha,Indian flip gas cylinders when they throw it in the truck and its always 100% accurate.,0,0
71,2021-05-28T04:58:12Z,Phoenix ,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m28s"">0:28</a> lol the bachhda is also running<br>lolololololololololololol",0,0
72,2021-05-16T11:47:50Z,Glow Bunny,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m13s"">0:13</a> the part everyone wants to see",0,0
73,2021-05-15T07:53:40Z,Anudeep Kallu,U r superb guys🤣😂,0,0
74,2021-05-14T17:08:45Z,Vlog_Maker,Your really awesome guyz🤣🤣🤣👏👏👌,0,0
75,2021-05-13T08:05:34Z,vignesh rajkumar,😂😂😂😂😂👌,0,0
76,2021-04-24T08:21:24Z,sashank avirneni,What is with nasser’s hairstyle,0,0
77,2021-04-18T18:09:42Z,Jash Punjabi,Guys did you all notice it was Dinesh,0,0
78,2021-04-18T07:44:35Z,anantha krishnan,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=30m00s"">30:00</a> at 0.25 speed is amazing.",1,0
79,2021-04-16T15:06:24Z,Sikand Dhingra,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m23s"">0:23</a> that smile though🔥🔥",1,0
80,2021-04-16T15:04:42Z,Sikand Dhingra,That smile,0,0
81,2021-04-12T07:42:41Z,Sweekriti Singh,"That&#39;s my hairstyle,  when I wake up.",0,0
82,2021-04-11T03:05:34Z,heyo it's me Again,Nobody: <br>YouTube: let me recommend this 4 years later.,1,0
83,2021-04-09T11:43:02Z,NOSK1N,How the scare the cow is funny as f,0,0
84,2021-04-09T09:20:28Z,Rushdha Anjum,The garnier men ad,0,0
85,2021-04-08T09:47:53Z,Kaushal nana,"Any one watching this at 2021,<br>click her",0,0
86,2021-04-06T16:44:31Z,Darshan,Wearing lungi for each time is best ... Lol 😂😂😂,2,0
87,2021-04-06T07:39:35Z,Bindu,🤣,0,0
88,2021-04-05T17:05:19Z,Ramya Ramya,Super super super,0,0
89,2021-04-05T08:46:08Z,Abhijay S Kumar,😀Superb,0,0
90,2021-04-04T18:08:09Z,Veena Marballi,😆😆😆😆😆,0,0
91,2021-04-04T08:39:42Z,priyanhshu K.,Nasser is looking malnutritioned Salman Khan from tere naam!!! An I right?,0,0
92,2021-04-02T15:10:32Z,Janane Narayanan,"Me<br><a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m11s"">0:11</a> - IMPRESSIVE OMG!!<br><a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m16s"">0:16</a> - ehem not impressive!! Not at all<br><a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m20s"">0:20</a> - DESERVES AN AWARD FOR JORDINDIAN NASSER!! My God!!! Was it planned or an accident!!!!<br><br>Now me<br><a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m11s"">0:11</a> - ehem not impressive!!!",0,0
93,2021-04-01T19:52:00Z,Azeem,😂Baba bhaskar and Pugazh😂,0,0
94,2021-04-01T12:42:02Z,Davin Joseph,Joooooooordh Indan,0,0
95,2021-03-29T07:50:30Z,Atharva Bansode,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m26s"">0:26</a> the cow was also trying to escape",1,0
96,2021-03-28T14:29:37Z,Adittya Gakhar,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m37s"">0:37</a> bboynas&#39;s head is so perfect",40,0
97,2021-03-26T07:10:46Z,AgguPaggu_8,Anyone 2021?????😂😂😂,3,0
98,2021-03-26T06:55:45Z,Anisha Gunasekera,"Naser&#39;s wig is giving me life, lol!",1,0
99,2021-03-25T19:21:21Z,Maayan Subramanian,Fact 101 - word kakaw inspired by naser hairstyle <br><br>Vineeth and naser bangam man even in 2021😂,0,0
100,2021-03-24T15:46:42Z,Sajiv SK,Shorter the videos the more funnier,0,0
101,2021-03-24T06:12:09Z,Arbaaz Iftakhar,I like how he says that<br><br><br><br><br><br><br>Joooooooooooooord<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Indaaaaaaaaain,1,0
102,2021-03-24T01:27:02Z,Shayantan Debbarman,This was gold,0,0
103,2021-03-23T04:23:14Z,K.K'S  Drawing,😂😂😂,0,0
104,2021-03-22T15:21:39Z,Aditya Raj Parichha,How many pots he have been broken for this,0,0
105,2021-03-22T07:13:21Z,Cyover,i hate how accurate it actually is,1,0
106,2021-03-20T18:02:04Z,Jenishaa Bharathi,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m28s"">0:28</a> oh that cow lol 😆",2,0
107,2021-03-20T17:54:56Z,FROSTY DEMONY GAMING,XD BEST VIDEO VINEETH WITH HIS INDIAN HEADSHAKE LOL<br>|,2,2
107(1),2021-03-23T16:54:18Z,FROSTY DEMONY GAMING,@EvK ik bro but the style of his headshake,0,0
107(2),2021-03-21T05:06:53Z,EvK,He is Indian -_-,1,0
108,2021-03-19T16:32:29Z,அடர்சேரலாதன்,Lol the water on the floor shows the number of tries before they got the flip on the plastic pot! Easily my most watched video on Jordindian!,2,0
109,2021-03-18T06:31:34Z,Nasir Ahmed,0: 27 😂😂😂,2,0
110,2021-03-16T07:16:19Z,Akshat Agarwal,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m28s"">0:28</a> that cow got scared 😂😂😂!!!",3,0
111,2021-03-15T15:33:06Z,technofunky,The fucking matka good god,1,0
112,2021-03-12T15:20:51Z,Lalisa,From where do you get this places to shot😂😂 set or what😂😂🤣🤣,1,0
113,2021-03-04T09:51:43Z,Enchxnted,Lol,1,0
114,2021-03-02T07:26:25Z,Mohammed Meeran,That cow<br>Cow: what did i do to you guys?😂😂😂😂😂,1,0
115,2021-02-24T10:28:23Z,Mr.football,Just 40 secs video and that makes me laugh .  JORDINDIAN  u guys are wow,4,0
116,2021-02-15T04:43:46Z,lakshmi swaroop,Naser is hilarious in this hair style,6,0
117,2021-02-14T12:05:35Z,I'm dAbLyoO DaBlYOo Eichu yonno?,Pot 🤣🤣🤣,1,0
118,2021-02-13T18:00:58Z,Ajay Ajay,Bro please do more kannada videos but these are also awesome and my stomach will pain in laughing 🤣 and my request is to make more kannada videos,1,0
119,2021-02-12T12:22:24Z,Chethan N,What i like in theirs video is the music that comes after Jordindian,1,0
120,2021-02-04T16:01:38Z,Uchiha Madara,"Bro , at <a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m22s"">0:22</a> someone is scolding you , who is he ? <br>Is that Dinesh ? 🤔🤔",3,0
121,2021-02-04T13:45:37Z,Dr.Jeena Devasia,Poor little cows,1,0
122,2021-02-03T11:17:05Z,Deez_nuts,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m27s"">0:27</a> Run dun dun hahahah run quickly or your done",1,0
123,2021-02-02T03:11:39Z,VERSA,Imagine not commenting: &quot;&quot;“Minecraft&quot; &quot;ASMR&quot; &quot;pewdiepie&quot; &quot;music&quot; &quot;Fortnite&quot; &quot;markiplier&quot; “YouTube is a perfectly balanced game with no exploits.” &quot;Runescape&quot; &quot;World of Warcraft&quot; &quot;Shadowlands&quot; &quot;Dream&quot; &quot;MrBeast&quot; &quot;Warzone&quot; &quot;FaZe Clan&quot; &quot;100 Thieves&quot; &quot;Call of Duty&quot; &quot;BOOBS&quot; &quot;Pokemon&quot; &quot;Pokemon cards&quot; &quot;card unboxing&quot; &quot;Charizard&quot; &quot;they don&#39;t want you to know&quot; &quot;Flat earth&quot; &quot;round earth&quot; &quot;triangle earth&quot; &quot;the earth is not earth&quot; &quot;what even is earth if not earth omg government is lying to you&quot; &quot;Minecraft&quot; &quot;ASMR&quot; &quot;pewdiepie&quot; &quot;music&quot; &quot;Fortnite&quot; &quot;markiplier&quot; “YouTube is a perfectly balanced game with no exploits.” &quot;Runescape&quot; &quot;World of Warcraft&quot; &quot;Shadowlands&quot; &quot;PogChamp&quot; &quot;MrBeast&quot; &quot;Warzone&quot; &quot;FaZe Clan&quot; &quot;100 Thieves&quot; &quot;Call of Duty&quot; &quot;Pokemon&quot; &quot;Halo&quot; &quot;Devil may cry&quot; “YouTube is a perfectly balanced game with no exploits.” “Cocomelon” “t series” “Minecraft&quot; &quot;ASMR&quot; &quot;straponsexisfun&quot; &quot;pewdiepie&quot; &quot;music&quot; &quot;Fortnite&quot; &quot;markiplier&quot; “YouTube is a perfectly balanced game with no exploits.” &quot;Runescape&quot; &quot;World of Warcraft&quot; &quot;Shadowlands&quot; &quot;Dream&quot; &quot;MrBeast&quot; &quot;Warzone&quot; &quot;FaZe Clan&quot; &quot;100 Thieves&quot; &quot;Call of Duty&quot; &quot;Pokemon&quot; &quot;Pokemon cards&quot; &quot;card unboxing&quot; &quot;Charizard&quot; &quot;they don&#39;t want you to know&quot; &quot;Flat earth&quot; &quot;round earth&quot; &quot;triangle earth&quot; &quot;the earth is not earth&quot; &quot;what even is earth if not earth omg government is lying to you&quot; &quot;Minecraft&quot; &quot;ASMR&quot; &quot;pewdiepie&quot; &quot;music&quot; &quot;Fortnite&quot; &quot;markiplier&quot; “YouTube is a perfectly balanced game with no exploits.” &quot;Runescape&quot; &quot;World of Warcraft&quot; &quot;Shadowlands&quot; &quot;Dream&quot; &quot;MrBeast&quot; &quot;Warzone&quot; &quot;FaZe Clan&quot; &quot;100 Thieves&quot; &quot;Call of Duty&quot; &quot;Pokemon&quot; &quot;Halo&quot; &quot;Devil may cry&quot; “YouTube is a perfectly balanced game with no exploits.” “Cocomelon” “t series”,0,0
